           <program>                 ----                 ----       isNotaLeafNode                 ----                 ----            <program>

          <function>                 ----                 ----       isNotaLeafNode                 ----            <program>           <function>

          _readMarks             TK_FUNID                    6          isaLeafNode                 ----           <function>                 ----

         <input_par>                 ----                 ----       isNotaLeafNode                 ----           <function>          <input_par>

               input             TK_INPUT                    6          isaLeafNode                 ----          <input_par>                 ----

                list              TK_LIST                    6          isaLeafNode                 ----          <input_par>                 ----

    <parameter_list>                 ----                 ----       isNotaLeafNode                 ----          <input_par>     <parameter_list>

                 int               TK_INT                    6          isaLeafNode                 ----     <parameter_list>                 ----

                  b7                TK_ID                    6          isaLeafNode                 ----     <parameter_list>                 ----

        <output_par>                 ----                 ----       isNotaLeafNode                 ----           <function>         <output_par>

              output            TK_OUTPUT                    7          isaLeafNode                 ----         <output_par>                 ----

                list              TK_LIST                    7          isaLeafNode                 ----         <output_par>                 ----

    <parameter_list>                 ----                 ----       isNotaLeafNode                 ----         <output_par>     <parameter_list>

<constructedDatatype>                 ----                 ----       isNotaLeafNode                 ----     <parameter_list> <constructedDatatype>

              record            TK_RECORD                    7          isaLeafNode                 ---- <constructedDatatype>                 ----

              #marks          TK_RECORDID                    7          isaLeafNode                 ---- <constructedDatatype>                 ----

               b3c45                TK_ID                    7          isaLeafNode                 ----     <parameter_list>                 ----

             <stmts>                 ----                 ----       isNotaLeafNode                 ----           <function>              <stmts>

        <otherStmts>                 ----                 ----       isNotaLeafNode                 ----              <stmts>         <otherStmts>

            <ioStmt>                 ----                 ----       isNotaLeafNode                 ----         <otherStmts>             <ioStmt>

                read              TK_READ                    8          isaLeafNode                 ----             <ioStmt>                 ----

     <singleOrRecId>                 ----                 ----       isNotaLeafNode                 ----             <ioStmt>      <singleOrRecId>

               b3c45                TK_ID                    8          isaLeafNode                 ----      <singleOrRecId>                 ----

               maths           TK_FIELDID                    8          isaLeafNode                 ----      <singleOrRecId>                 ----

        <otherStmts>                 ----                 ----       isNotaLeafNode                 ----         <otherStmts>         <otherStmts>

            <ioStmt>                 ----                 ----       isNotaLeafNode                 ----         <otherStmts>             <ioStmt>

                read              TK_READ                    9          isaLeafNode                 ----             <ioStmt>                 ----

     <singleOrRecId>                 ----                 ----       isNotaLeafNode                 ----             <ioStmt>      <singleOrRecId>

               b3c45                TK_ID                    9          isaLeafNode                 ----      <singleOrRecId>                 ----

             physics           TK_FIELDID                    9          isaLeafNode                 ----      <singleOrRecId>                 ----

            <ioStmt>                 ----                 ----       isNotaLeafNode                 ----         <otherStmts>             <ioStmt>

                read              TK_READ                   10          isaLeafNode                 ----             <ioStmt>                 ----

     <singleOrRecId>                 ----                 ----       isNotaLeafNode                 ----             <ioStmt>      <singleOrRecId>

               b3c45                TK_ID                   10          isaLeafNode                 ----      <singleOrRecId>                 ----

           chemistry           TK_FIELDID                   10          isaLeafNode                 ----      <singleOrRecId>                 ----

        <returnStmt>                 ----                 ----       isNotaLeafNode                 ----              <stmts>         <returnStmt>

              return            TK_RETURN                   11          isaLeafNode                 ----         <returnStmt>                 ----

               b3c45                TK_ID                   11          isaLeafNode                 ----         <returnStmt>                 ----

                 end               TK_END                   12          isaLeafNode                 ----           <function>                 ----

      <mainFunction>                 ----                 ----       isNotaLeafNode                 ----            <program>       <mainFunction>

